description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Weapon + Glyph  -> Corrupted Weapon With Useful Stat	1			100	16	361	19		3	"weap,sock"	glx	gpb					useitem				corruption	100		21	21	allskills	100		1	1																glb																													glb																													0
Weapon + Glyph  -> Corrupted Weapon With Useful Stat	1			100	16	361	20		3	"weap,sock"	glx	gpb					useitem				corruption	100		21	21	cast1	100		10	10	extra-fire	100		2	2	extra-cold	100		2	2	extra-ltng	100		2	2	glb																													glb																													0
TORSO - NORMAL	0																																																																																																							0
Corruption Tracker	1			100	16	361	0		3	"tors,nor,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,nor,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph  -> Corrupted Armor With Sockets	1			100	16	361	20		3	"tors,nor,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"tors,nor,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,nor,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph  -> Corrupted Armor With Sockets	1			100	16	361	20		3	"tors,nor,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
TORSO - SUPERIOR																																																																																																								0
Corruption Tracker	1			100	16	361	0		3	"tors,hiq,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,hiq,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph  -> Corrupted Armor With Sockets	1			100	16	361	20		3	"tors,hiq,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"tors,hiq,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,hiq,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph  -> Corrupted Armor With Sockets	1			100	16	361	20		3	"tors,hiq,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
TORSO - SUPERIOR AND NORMAL SOCKETED CATCHER	0																																																																																																							0
Armor + Glyph + PRuby -> Corrupted Armor	1			100	16	361	21		3	"tors,hiq,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Armor + Glyph + PRuby -> Corrupted Armor	1			100	16	361	21		3	"tors,nor,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Armor + Glyph + PSapph -> Corrupted Armor	1			100	16	361	21		3	"tors,hiq,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
Armor + Glyph + PSapph -> Corrupted Armor	1			100	16	361	21		3	"tors,nor,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
TORSO - NO SOCKETS - MAGIC AND UP COMBAT RECIPE	0																																																																																																							0
Armor Corruption Tracker	1			100	16	361	0		3	"tors,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Armor + Glyph -> Corrupted Armor With Sockets	1			100	16	361	5		3	"tors,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Armor + Glyph  -> Random Rare	1			100	16	361	10		3	"tors,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	11		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	ac%	100		80	100	indestruct	100	1	1												glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	12		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	hp	100		80	100																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	13		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	hp%	100		10	10																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	14		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	balance2	100		20	30																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	15		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	move1	100		10	15																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	16		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	thorns	100		50	150																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	17		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	res-all	100		10	15																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	18		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	nofreeze	100		1	1																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	19		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	red-dmg%	100		5	10																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	20		3	"tors,nos"	glx	gpr					useitem				corruption	100		21	21	allskills	100		1	1																glr																													glr																													0
TORSO - W SOCKETS - MAGIC AND UP COMBAT RECIPE	0																																																																																																							0
Armor Corruption Tracker	1			100	16	361	0		3	"tors,sock"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,sock"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	6		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	ac%	100		80	100	indestruct	100	1	1												glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	8		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	hp	100		80	100																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	10		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	hp%	100		10	10																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	12		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	balance2	100		20	30																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	14		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	move1	100		10	15																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	16		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	thorns	100		50	150																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	17		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	res-all	100		10	15																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	18		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	nofreeze	100		1	1																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	19		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	red-dmg%	100		5	10																glr																													glr																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	20		3	"tors,sock"	glx	gpr					useitem				corruption	100		21	21	allskills	100		1	1																glr																													glr																													0
TORSO - NO SOCKETS - MAGIC AND UP CASTER RECIPE	0																																																																																																							0
Armor Corruption Tracker	1			100	16	361	0		3	"tors,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Armor + Glyph -> Corrupted Armor With Sockets	1			100	16	361	5		3	"tors,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
Armor + Glyph  -> Random Rare	1			100	16	361	10		3	"tors,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	11		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	hp	100		80	100																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	12		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	mana	100		80	100																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	13		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	mag%	100		30	40																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	14		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	balance2	100		20	30																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	15		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	cast1	100		10	10																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	16		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	mana%	100		10	15																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	17		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	res-all	100		10	15																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	18		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	nofreeze	100		1	1																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	19		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	red-dmg%	100		5	10																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	20		3	"tors,nos"	glx	gpb					useitem				corruption	100		21	21	allskills	100		1	1																glb																													glb																													0
TORSO - W SOCKETS - MAGIC AND UP CASTER RECIPE	0																																																																																																							0
Armor Corruption Tracker	1			100	16	361	0		3	"tors,sock"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Armor + Glyph  -> Random Rare	1			100	16	361	5		3	"tors,sock"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	6		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	hp	100		80	100																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	8		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	mana	100		80	100																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	10		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	mag%	100		30	40																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	12		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	balance2	100		20	30																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	14		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	cast1	100		10	10																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	16		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	mana%	100		10	15																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	17		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	res-all	100		10	15																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	18		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	nofreeze	100		1	1																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	19		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	red-dmg%	100		5	10																glb																													glb																													0
Armor + Glyph -> Corrupted Armor With Useful Stat	1			100	16	361	20		3	"tors,sock"	glx	gpb					useitem				corruption	100		21	21	allskills	100		1	1																glb																													glb																													0
HELM - NORMAL	0																																																																																																							0
Corruption Tracker	1			100	16	361	0		3	"helm,nor,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Helmet + Glyph  -> Random Rare	1			100	16	361	5		3	"helm,nor,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph  -> Corrupted Helmet With Sockets	1			100	16	361	20		3	"helm,nor,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"helm,nor,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Helmet + Glyph  -> Random Rare	1			100	16	361	5		3	"helm,nor,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph  -> Corrupted Helmet With Sockets	1			100	16	361	20		3	"helm,nor,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
HELM - SUPERIOR	0																																																																																																							0
Corruption Tracker	1			100	16	361	0		3	"helm,hiq,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Helmet + Glyph  -> Random Rare	1			100	16	361	5		3	"helm,hiq,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph  -> Corrupted Helmet With Sockets	1			100	16	361	20		3	"helm,hiq,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"helm,hiq,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Helmet + Glyph  -> Random Rare	1			100	16	361	5		3	"helm,hiq,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph  -> Corrupted Helmet With Sockets	1			100	16	361	20		3	"helm,hiq,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
HELMS - SUPERIOR AND NORMAL SOCKETED CATCHER	0																																																																																																							0
Helmet + Glyph + PRuby -> Corrupted Helmet	1			100	16	361	21		3	"helm,hiq,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Helmet + Glyph + PRuby -> Corrupted Helmet	1			100	16	361	21		3	"helm,nor,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Helmet + Glyph + PSapph -> Corrupted Helmet	1			100	16	361	21		3	"helm,hiq,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
Helmet + Glyph + PSapph -> Corrupted Helmet	1			100	16	361	21		3	"helm,nor,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
HELM - NO SOCKETS - MAGIC AND UP COMBAT RECIPE	0																																																																																																							0
Helmet Corruption Tracker	1			100	16	361	0		3	"helm,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Helmet + Glyph -> Corrupted Helmet With Sockets	1			100	16	361	5		3	"helm,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Helmet + Glyph -> Random Rare	1			100	16	361	10		3	"helm,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	11		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	manasteal	100		3	5																																																																										0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	12		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	lifesteal	100		3	5																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	13		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	att%	100		10	20																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	14		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	heal-kill	100		3	4																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	15		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	balance2	100		10	15																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	16		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	res-all	100		10	15																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	17		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	nofreeze	100		1	1																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	18		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	red-dmg%	100		5	10																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	19		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	res-pois-len	100		50	50																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	20		3	"helm,nos"	glx	gpr					useitem				corruption	100		21	21	allskills	100		1	1																glr																													glr																													0
HELM - W SOCKETS - MAGIC AND UP COMBAT RECIPE	0																																																																																																							0
Helmet Corruption Tracker	1			100	16	361	0		3	"helm,sock"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Helmet + Glyph -> Random Rare	1			100	16	361	5		3	"helm,sock"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	6		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	manasteal	100		3	5																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	8		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	lifesteal	100		3	5																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	10		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	att%	100		10	20																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	12		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	heal-kill	100		3	4																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	14		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	balance2	100		10	15																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	16		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	res-all	100		10	15																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	17		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	nofreeze	100		1	1																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	18		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	red-dmg%	100		5	10																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	19		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	res-pois-len	100		50	50																glr																													glr																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	20		3	"helm,sock"	glx	gpr					useitem				corruption	100		21	21	allskills	100		1	1																glr																													glr																													0
HELM - NO SOCKETS - MAGIC AND UP CASTER RECIPE	0																																																																																																							0
Helmet Corruption Tracker	1			100	16	361	0		3	"helm,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Helmet + Glyph -> Corrupted Helmet With Sockets	1			100	16	361	5		3	"helm,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
Helmet + Glyph -> Random Rare	1			100	16	361	10		3	"helm,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	11		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	regen-mana	100		20	25																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	12		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	mag%	100		20	30																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	13		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	cast1	100		10	10																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	14		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	mana-kill	100		3	4																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	15		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	balance2	100		10	15																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	16		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	res-all	100		10	15																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	17		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	nofreeze	100		1	1																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	18		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	red-dmg%	100		5	10																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	19		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	res-pois-len	100		50	50																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	20		3	"helm,nos"	glx	gpb					useitem				corruption	100		21	21	allskills	100		1	1																glb																													glb																													0
HELM - W SOCKETS - MAGIC AND UP CASTER RECIPE	0																																																																																																							0
Helmet Corruption Tracker	1			100	16	361	0		3	"helm,sock"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Helmet + Glyph -> Random Rare	1			100	16	361	5		3	"helm,sock"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	6		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	regen-mana	100		20	25																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	8		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	mag%	100		20	30																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	10		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	cast1	100		10	10																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	12		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	mana-kill	100		3	4																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	14		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	balance2	100		10	15																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	16		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	res-all	100		10	15																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	17		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	nofreeze	100		1	1																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	18		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	red-dmg%	100		5	10																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	19		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	res-pois-len	100		50	50																glb																													glb																													0
Helmet + Glyph -> Corrupted Helmet With Useful Stat	1			100	16	361	20		3	"helm,sock"	glx	gpb					useitem				corruption	100		21	21	allskills	100		1	1																glb																													glb																													0
SHIELD - NORMAL	0																																																																																																							0
Corruption Tracker	1			100	16	361	0		3	"shld,nor,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Shield + Glyph  -> Random Rare	1			100	16	361	5		3	"shld,nor,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Shield + Glyph  -> Corrupted Shield With Sockets	1			100	16	361	20		3	"shld,nor,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"shld,nor,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Shield + Glyph  -> Random Rare	1			100	16	361	5		3	"shld,nor,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Shield + Glyph  -> Corrupted Shield With Sockets	1			100	16	361	20		3	"shld,nor,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
SHIELD - SUPERIOR	0																																																																																																							0
Corruption Tracker	1			100	16	361	0		3	"shld,hiq,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Shield + Glyph  -> Random Rare	1			100	16	361	5		3	"shld,hiq,nos"	glx	gpr					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Shield + Glyph  -> Corrupted Shield With Sockets	1			100	16	361	20		3	"shld,hiq,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
Corruption Tracker	1			100	16	361	0		3	"shld,hiq,nos"	glx	gpb					useitem				corruption	100		1	20																					glx																													gpb																													0
Shield + Glyph  -> Random Rare	1			100	16	361	5		3	"shld,hiq,nos"	glx	gpb					"usetype,rar"		100	100	corruption	100		21	21																																																																															0
Shield + Glyph  -> Corrupted Shield With Sockets	1			100	16	361	20		3	"shld,hiq,nos"	glx	gpb					useitem				sock	100		1	6	corruption	100		21	21																glb																													glb																													0
SHIELDS - SUPERIOR AND NORMAL SOCKETED CATCHER	0																																																																																																							0
Shield + Glyph + PRuby -> Corrupted Shield	1			100	16	361	21		3	"shld,hiq,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Shield + Glyph + PRuby -> Corrupted Shield	1			100	16	361	21		3	"shld,nor,sock"	glx	gpr					useitem				corruption	100		21	21																					glr																													glr																													0
Shield + Glyph + PSapph -> Corrupted Shield	1			100	16	361	21		3	"shld,hiq,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
Shield + Glyph + PSapph -> Corrupted Shield	1			100	16	361	21		3	"shld,nor,sock"	glx	gpb					useitem				corruption	100		21	21																					glb																													glb																													0
SHIELD - NO SOCKETS - MAGIC AND UP COMBAT RECIPE	0																																																																																																							0
Shield Corruption Tracker	1			100	16	361	0		3	"shld,nos"	glx	gpr					useitem				corruption	100		1	20																					glx																													gpr																													0
Shield + Glyph -> Corrupted Shield With Sockets	1			100	16	361	5		3	"shld,nos"	glx	gpr					useitem				sock	100		1	6	corruption	100		21	21																glr																													glr																													0
