Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	*eol
Mephisto (N) Desecrated C	22	73	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 3 (H) Equip A	52	Act 3 (H) Good	3	"cm5,uni"	6																		0
Mephisto (H)			6	993	993	1024	1024	10	"gld,mul=2048"	5	Act 4 (H) Equip A	52	Act 4 (H) Good	3	seh	2																		0
Mephisto Item (H) Desecrated A			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 4 (H) Equip B	52	Act 4 (H) Good	3	seh	2																		0
Mephisto Item (H) Desecrated B			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip A	52	Act 5 (H) Good	3	seh	2																		0
Mephisto Item (H) Desecrated C			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Good	3	seh	2																		0
Mephisto Item (H) Desecrated D			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip C	52	Act 5 (H) Good	3	seh	2																		0
Mephisto (H) Desecrated A	22	87	2					0	CFN Gems	5	Mephisto Item (H) Desecrated A	20																						0
Mephisto (H) Desecrated B	22	90	2					0	CFN Gems	5	Mephisto Item (H) Desecrated B	20																						0
Mephisto (H) Desecrated C	22	93	2					0	CFN Gems	5	Mephisto Item (H) Desecrated C	20																						0
Mephisto (H) Desecrated D	22	96	2					0	CFN Gems	5	Mephisto Item (H) Desecrated D	20																						0
Diablo			6	993	993	1024	1024	10	Act 5 Equip A	52	Act 5 Good	3																						0
Diablo Desecrated A	23	40	6	993	993	1024	1024	15	"gld,mul=1280"	5	Act 1 (N) Equip A	52	Act 1 (N) Good	3																				0
Diablo Desecrated B	23	48	6	993	993	1024	1024	15	"gld,mul=1280"	5	Act 3 (N) Equip A	52	Act 3 (N) Good	3																				0
Diablo (N)			6	993	993	1024	1024	10	Act 5 (N) Equip A	52	Act 5 (N) Good	3																						0
Diablo (N) Desecrated A	23	62	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 5 (N) Equip A	52	Act 5 (N) Good	3	"cm5,uni"	20																		0
Diablo (N) Desecrated B	23	67	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 1 (H) Equip A	52	Act 1 (H) Good	3	"cm5,uni"	20																		0
Diablo (N) Desecrated C	23	73	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 3 (H) Equip A	52	Act 3 (H) Good	3	"cm5,uni"	20																		0
Diablo (H)			6	993	993	1024	1024	10	Act 5 (H) Equip A	52	Act 5 (H) Good	3	set	1																				0
Diablo Item (H) Desecrated A			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Good	3	set	10																		0
Diablo Item (H) Desecrated B			6	993	993	1024	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip C	52	Act 5 (H) Good	3	set	10																		0
Diablo (H) Desecrated A	23	94	2					0	CFN Gems	5	Diablo Item (H) Desecrated A	20																						0
Diablo (H) Desecrated B	23	96	2					0	CFN Gems	5	Diablo Item (H) Desecrated B	20																						0
Summoner			5	900	900	972	1024	10	gld,mul=1280	9	Act 2 Equip C	15	Act 2 Good	5																				0
Summoner Desecrated A	24	18	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 2 Equip C	15	Act 2 Good	3	Act 3 Magic A	4																		0
Summoner Desecrated B	24	32	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 4 Equip B	15	Act 4 Good	3	Act 5 Magic A	4																		0
Summoner Desecrated C	24	48	5	900	900	972	1024	19	"gld,mul=1280"	9	Act 3 (N) Equip C	15	Act 3 (N) Good	3	Act 4 (N) Magic A	4																		0
Summoner (N)			5	900	900	972	1024	10	gld,mul=1536	9	Act 2 (N) Equip C	15	Act 2 (N) Good	5																				0
Summoner (N) Desecrated A	24	55	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 4 (N) Equip A	15	Act 4 (N) Good	3	Act 5 (N) Magic A	4																		0
Summoner (N) Desecrated B	24	63	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 5 (N) Equip A	15	Act 5 (N) Good	3	Act 1 (H) Magic A	4																		0
Summoner (N) Desecrated C	24	73	5	900	900	972	1024	19	"gld,mul=1536"	9	Act 3 (H) Equip A	15	Act 3 (H) Good	3	Act 3 (H) Magic A	4																		0
Summoner (H)			5	900	900	972	1024	10	gld,mul=2048	9	Act 2 (H) Equip C	15	Act 2 (H) Good	5	p2s	15																		0
Summoner Item (H) Desecrated A			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip A	15	Act 4 (H) Good	3	Act 5 (H) Magic A	4	p2s	2																0
Summoner Item (H) Desecrated B			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip B	15	Act 4 (H) Good	3	Act 5 (H) Magic B	4	p2s	2																0
Summoner Item (H) Desecrated C			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip C	15	Act 4 (H) Good	3	Act 5 (H) Magic A	4	p2s	2																0
Summoner Item (H) Desecrated D			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip A	15	Act 5 (H) Good	3	Act 5 (H) Magic C	4	p2s	2																0
Summoner Item (H) Desecrated E			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip B	15	Act 5 (H) Good	3	Act 5 (H) Magic C	4	p2s	2																0
Summoner Item (H) Desecrated F			5	900	900	972	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip C	15	Act 5 (H) Good	3	Act 5 (H) Magic C	4	p2s	2																0
Summoner (H) Desecrated A	24	80	2					0	CFN Gems	5	Summoner Item (H) Desecrated A	20																						0
Summoner (H) Desecrated B	24	84	2					0	CFN Gems	5	Summoner Item (H) Desecrated B	20																						0
Summoner (H) Desecrated C	24	87	2					0	CFN Gems	5	Summoner Item (H) Desecrated C	20																						0
Summoner (H) Desecrated D	24	90	2					0	CFN Gems	5	Summoner Item (H) Desecrated D	20																						0
Summoner (H) Desecrated E	24	93	2					0	CFN Gems	5	Summoner Item (H) Desecrated E	20																						0
Summoner (H) Desecrated F	24	96	2					0	CFN Gems	5	Summoner Item (H) Desecrated F	20																						0
Council			3	650	800	800	1024	10	gld,mul=1280	9	Act 4 Equip A	15	Act 4 Junk	2	Act 4 Good	5																		0
Council Desecrated A	25	28	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 4 Equip B	15	Act 4 Junk	2	Act 4 Good	3	Act 4 Magic B	4																0
Council Desecrated B	25	38	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 5 Equip C	15	Act 5 Junk	2	Act 5 Good	3	Act 5 Magic C	4																0
Council Desecrated C	25	48	3	650	800	800	1024	19	"gld,mul=1280"	9	Act 3 (N) Equip A	15	Act 3 (N) Junk	2	Act 3 (N) Good	3	Act 3 (N) Magic A	4																0
Council (N)			3	650	800	800	1024	10	gld,mul=1536	9	Act 4 (N) Equip A	15	Act 4 (N) Junk	2	Act 4 (N) Good	5																		0
Council (N) Desecrated A	25	57	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 4 (N) Equip B	15	Act 4 (N) Junk	2	Act 4 (N) Good	3	Act 4 (N) Magic B	4																0
Council (N) Desecrated B	25	66	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 5 (N) Equip C	15	Act 5 (N) Junk	52	Act 5 (N) Good	3	Act 5 (N) Magic C	4																0
Council (N) Desecrated C	25	73	3	650	800	800	1024	19	"gld,mul=1536"	9	Act 3 (H) Equip A	15	Act 3 (H) Junk	2	Act 3 (H) Good	3	Act 3 (H) Magic A	4																0
Council (H)			3	650	800	800	1024	10	gld,mul=2048	9	Act 4 (H) Equip A	15	Act 4 (H) Good	5	Junk (H)	3																		0
Council Item (H) Desecrated A			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip B	15	Act 4 (H) Junk	2	Act 4 (H) Good	3	Act 4 (H) Magic B	4																0
Council Item (H) Desecrated B			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 4 (H) Equip C	15	Act 4 (H) Junk	2	Act 4 (H) Good	3	Act 4 (H) Magic B	4																0
Council Item (H) Desecrated C			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip A	15	Act 5 (H) Junk	2	Act 5 (H) Good	3	Act 5 (H) Magic A	4																0
Council Item (H) Desecrated D			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip B	15	Act 5 (H) Junk	2	Act 5 (H) Good	3	Act 5 (H) Magic B	4																0
Council Item (H) Desecrated E			3	650	800	800	1024	19	"gld,mul=2048"	9	Act 5 (H) Equip C	15	Act 5 (H) Junk	2	Act 5 (H) Good	3	Act 5 (H) Magic C	4																0
Council (H) Desecrated A	25	85	2					0	Sunder Charms	3	Council Item (H) Desecrated A	20																						0
Council (H) Desecrated B	25	87	2					0	Sunder Charms	3	Council Item (H) Desecrated B	20																						0
Council (H) Desecrated C	25	90	2					0	Sunder Charms	3	Council Item (H) Desecrated C	20																						0
Council (H) Desecrated D	25	93	2					0	Sunder Charms	3	Council Item (H) Desecrated D	20																						0
Council (H) Desecrated E	25	96	2					0	Sunder Charms	3	Council Item (H) Desecrated E	20																						0
Griswold			-3					0	Act 1 Uitem C	1	Act 1 Melee B	2																						0
Griswold Desecrated A	26	8	3					0	Act 1 Uitem C	1	Act 1 Melee B	2																						0
Griswold Desecrated B	26	29	3					0	Act 4 Uitem B	1	Act 4 Melee A	2																						0
Griswold Desecrated C	26	48	3					0	Act 3 (N) Uitem A	1	Act 2 (N) Melee B	2																						0
Griswold (N)			-3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																						0
Griswold (N) Desecrated A	26	42	3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																						0
Griswold (N) Desecrated B	26	57	3					0	Act 1 (H) Uitem C	1	Act 3 (N) Melee B	2																						0
Griswold (N) Desecrated C	26	73	3					0	Act 3 (H) Uitem C	1	Act 3 (H) Melee B	2																						0
Griswold (H)			-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																						0
Griswold (H) Desecrated A	26	87	2					0	CFN Gems	5	Act 4 (H) Uitem B	10	Act 4 (H) Melee A	20																				0
Griswold (H) Desecrated B	26	90	2					0	CFN Gems	5	Act 5 (H) Uitem A	10	Act 4 (H) Melee B	20																				0
Griswold (H) Desecrated C	26	93	2					0	CFN Gems	5	Act 5 (H) Uitem B	10	Act 5 (H) Melee A	20																				0
Griswold (H) Desecrated D	26	96	2					0	CFN Gems	5	Act 5 (H) Uitem C	10	Act 5 (H) Melee B	20																				0
Cow			1					95	gld	19	Act 5 Equip A	19	Act 5 Good	3																				0
Cow (N)			1					95	gld	19	Act 5 (N) Equip A	19	Act 5 (N) Good	3																				0
Cow (H)			1					95	gld	19	Act 5 (H) Equip B	19	Act 5 (H) Good	3																				0
Trapped Soul			1					95	gld	19	Act 4 Equip A	8	Junk	3																				0
Trapped Soul (N)			1					95	gld	19	Act 4 (N) Equip A	8	Junk (N)	3																				0
Trapped Soul (H)			1					95	gld	19	Act 4 (H) Equip A	8	Junk (H)	3																				0
Haphesto			5	800	800	900	1024	10	gld,mul=1280	14	Act 5 Equip A	19	Act 5 Good	5																				0
Haphesto Desecrated A	27	28	5	800	800	900	1024	19	"gld,mul=1280"	14	Act 5 Equip A	19	Act 5 Good	3																				0
Haphesto Desecrated B	27	38	5	800	800	900	1024	19	"gld,mul=1280"	14	Act 5 Equip C	19	Act 5 Good	3																				0
Haphesto Desecrated C	27	48	5	800	800	900	1024	19	"gld,mul=1280"	14	Act 3 (N) Equip C	19	Act 3 (N) Good	3																				0
Haphesto (N)			5	800	800	900	1024	10	gld,mul=1536	14	Act 5 (N) Equip A	19	Act 5 (N) Good	5																				0
Haphesto (N) Desecrated A	27	60	5	800	800	900	1024	19	"gld,mul=1536"	14	Act 5 (N) Equip A	19	Act 5 (N) Good	3																				0
Haphesto (N) Desecrated B	27	66	5	800	800	900	1024	19	"gld,mul=1536"	14	Act 5 (N) Equip C	19	Act 5 (N) Good	3																				0
Haphesto (N) Desecrated C	27	73	5	800	800	900	1024	19	"gld,mul=1536"	14	Act 3 (H) Equip A	19	Act 3 (H) Good	3																				0
Haphesto (H)			5	800	800	900	1024	10	gld,mul=2048	14	Act 5 (H) Equip A	19	Act 5 (H) Good	5																				0
Haphesto Item (H) Desecrated A			5	800	800	900	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip A	19	Act 5 (H) Good	3																				0
Haphesto Item (H) Desecrated B			5	800	800	900	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip B	19	Act 5 (H) Good	3																				0
Haphesto Item (H) Desecrated C			5	800	800	900	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip C	19	Act 5 (H) Good	3																				0
Haphesto (H) Desecrated A	27	88	2					0	CFN Gems	5	Haphesto Item (H) Desecrated A	20																						0
Haphesto (H) Desecrated B	27	93	2					0	CFN Gems	5	Haphesto Item (H) Desecrated B	20																						0
Haphesto (H) Desecrated C	27	96	2					0	CFN Gems	5	Haphesto Item (H) Desecrated C	20																						0
Nihlathak			5	900	900	900	1024	10	gld,mul=1280	14	Act 5 Equip B	19	Act 5 Good	3																				0
Nihlathak Desecrated	28	68	5	900	900	900	1024	19	"gld,mul=1280"	14	Act 3 (N) Equip A	19	Act 3 (N) Good	3																				0
Nihlathak (N)			5	900	900	900	1024	10	gld,mul=1536	14	Act 5 (N) Equip B	19	Act 5 (N) Good	3																				0
Nihlathak (N) Desecrated	28	73	5	900	900	900	1024	19	"gld,mul=1280"	14	Act 3 (H) Equip A	19	Act 3 (H) Good	3																				0
Nihlathak (H)			5	900	900	900	1024	10	gld,mul=2048	14	Act 5 (H) Equip B	19	Act 5 (H) Good	3	p3s	15																		0
Nihlathak Item (H) Desecrated			5	900	900	900	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip C	19	Act 5 (H) Good	3	p3s	15																		0
Nihlathak (H) Desecrated	28	95	2						Sunder Charms	3	Nihlathak Item (H) Desecrated	20																						0
Baal			6	993	993	1024	1024	10	Act 1 (N) Equip A	52	Act 1 (N) Good	3																						0
Baal Desecrated	29	60	6	983	983	983	1024	15	"gld,mul=1280"	5	Act 3 (N) Equip A	52	Act 3 (N) Good	3																				0
Baal (N)			6	993	993	1024	1024	10	Act 1 (H) Equip A	52	Act 1 (H) Good	3																						0
Baalq (N)			-2					0	Baal (N)	1	"cm5,uni"	1																						0
Baal (N) Desecrated	29	75	6	983	983	983	1024	15	"gld,mul=1536"	5	Act 3 (H) Equip A	52	Act 3 (H) Good	3	"cm5,uni"	20	CFN Gems	3																0
Baal (H)			6	993	993	1024	1024	10	Act 5 (H) Equip B	52	Act 5 (H) Good	3	sed	10																				0
Baal Item (H) Desecrated			6	983	983	983	1024	15	"gld,mul=2048"	5	Act 5 (H) Equip C	52	Act 5 (H) Good	3																				0
Baal (H) Desecrated	29	99	2					0	Sunder Charms	3	Baal Item (H) Desecrated	20	sed	3	CFN Gems	3	"cm5,uni"	6																0
Blood Raven			5	1010	1024	1024	1024	10	gld,mul=1280	14	Act 1 Equip B	19	Act 1 Good	5																				0
Blood Raven Desecrated A	30	10	5	1010	1024	1024	1024	19	"gld,mul=1280"	14	Act 1 Equip C	19	Act 1 Good	3																				0
Blood Raven Desecrated B	30	29	5	1010	1024	1024	1024	19	"gld,mul=1280"	14	Act 4 Equip B	19	Act 4 Good	3																				0
Blood Raven Desecrated C	30	48	5	1010	1024	1024	1024	19	"gld,mul=1280"	14	Act 3 (N) Equip A	19	Act 3 (N) Good	3																				0
Blood Raven (N)			5	800	800	972	1024	10	gld,mul=1536	14	Act 1 (N) Equip B	19	Act 1 (N) Good	5																				0
Blood Raven (N) Desecrated A	30	43	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 1 (N) Equip C	19	Act 1 (N) Good	3																				0
Blood Raven (N) Desecrated B	30	57	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 4 (N) Equip B	19	Act 4 (N) Good	3																				0
Blood Raven (N) Desecrated C	30	73	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 3 (H) Equip A	19	Act 3 (H) Good	3																				0
Blood Raven (H)			5	800	800	972	1024	10	gld,mul=2048	14	Act 1 (H) Equip B	19	Act 1 (H) Good	5																				0
Blood Raven Item (H) Desecrated A			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 4 (H) Equip B	19	Act 4 (H) Good	3																				0
Blood Raven Item (H) Desecrated B			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip A	19	Act 5 (H) Good	3																				0
Blood Raven Item (H) Desecrated C			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip B	19	Act 5 (H) Good	3																				0
Blood Raven Item (H) Desecrated D			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip C	19	Act 5 (H) Good	3																				0
Blood Raven (H) Desecrated A	30	88	2					0	CFN Gems	5	Blood Raven Item (H) Desecrated A	20																						0
Blood Raven (H) Desecrated B	30	90	2					0	CFN Gems	5	Blood Raven Item (H) Desecrated B	20																						0
Blood Raven (H) Desecrated C	30	93	2					0	CFN Gems	5	Blood Raven Item (H) Desecrated C	20																						0
Blood Raven (H) Desecrated D	30	96	2					0	CFN Gems	5	Blood Raven Item (H) Desecrated D	20																						0
Smith			3					0	Act 1 Uitem C	1	Act 1 Melee B	2																						0
Smith Desecrated A	31	13	3					0	Act 2 Uitem A	1	Act 2 Melee A	2																						0
Smith Desecrated B	31	32	3					0	Act 4 Uitem B	1	Act 4 Melee B	2																						0
Smith Desecrated C	31	48	3					0	Act 3 (N) Uitem A	1	Act 3 (N) Melee A	2																						0
Smith (N)			3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																						0
Smith (N) Desecrated A	31	43	3					0	Act 2 (N) Uitem A	1	Act 2 (N) Melee A	2																						0
Smith (N) Desecrated B	31	57	3					0	Act 4 (N) Uitem B	1	Act 4 (N) Melee B	2																						0
Smith (N) Desecrated C	31	73	3					0	Act 3 (H) Uitem A	1	Act 3 (H) Melee A	2																						0
Smith (H)			3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																						0
Smith (H) Desecrated A	31	73	4					0	CFN Gems	5	Act 3 (H) Uitem A	4	Act 3 (H) Melee A	10																				0
Smith (H) Desecrated B	31	75	4					0	CFN Gems	5	Act 3 (H) Uitem B	4	Act 3 (H) Melee B	10																				0
Smith (H) Desecrated C	31	78	4					0	CFN Gems	5	Act 3 (H) Uitem C	4	Act 3 (H) Melee B	10																				0
Smith (H) Desecrated D	31	81	4					0	CFN Gems	5	Act 4 (H) Uitem A	4	Act 4 (H) Melee A	10																				0
Smith (H) Desecrated E	31	84	4					0	CFN Gems	5	Act 4 (H) Uitem B	4	Act 4 (H) Melee B	10																				0
Smith (H) Desecrated F	31	87	4					0	CFN Gems	5	Act 4 (H) Uitem B	4	Act 4 (H) Melee B	10																				0
Smith (H) Desecrated G	31	90	4					0	CFN Gems	5	Act 5 (H) Uitem A	4	Act 5 (H) Melee A	10																				0
Smith (H) Desecrated H	31	93	4					0	CFN Gems	5	Act 5 (H) Uitem B	4	Act 5 (H) Melee B	10																				0
Smith (H) Desecrated I	31	96	4					0	CFN Gems	5	Act 5 (H) Uitem C	4	Act 5 (H) Melee C	10																				0
Izual			5	800	800	972	1024	10	gld,mul=1280	14	Act 4 Equip B	19	Act 4 Good	5																				0
Izual Desecrated A	32	29	5	800	800	972	1024	19	"gld,mul=1280"	14	Act 4 Equip B	19	Act 4 Junk	5	Act 4 Good	3																		0
Izual Desecrated B	32	38	5	800	800	972	1024	19	"gld,mul=1280"	14	Act 5 Equip C	19	Act 5 Junk	5	Act 5 Good	3																		0
Izual Desecrated C	32	48	5	800	800	972	1024	19	"gld,mul=1280"	14	Act 3 (N) Equip A	19	Act 3 (N) Junk	5	Act 3 (N) Good	3																		0
Izual (N)			5	800	800	972	1024	10	gld,mul=1536	14	Act 4 (N) Equip B	19	Act 4 (N) Good	5																				0
Izual (N) Desecrated A	32	60	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 4 (N) Equip B	19	Act 4 (N) Junk	5	Act 4 (N) Good	3																		0
Izual (N) Desecrated B	32	66	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 5 (N) Equip C	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Izual (N) Desecrated C	32	73	5	800	800	972	1024	19	"gld,mul=1536"	14	Act 3 (H) Equip A	19	Act 3 (H) Junk	5	Act 3 (H) Good	3																		0
Izual (H)			5	800	800	972	1024	10	gld,mul=2048	14	Act 4 (H) Equip B	19	Act 4 (H) Good	5	Junk (H)	3																		0
Izual Item (H) Desecrated A			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 4 (H) Equip B	19	Act 4 (H) Junk	5	Act 4 (H) Good	3																		0
Izual Item (H) Desecrated B			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip A	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																		0
Izual Item (H) Desecrated C			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip B	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																		0
Izual Item (H) Desecrated D			5	800	800	972	1024	19	"gld,mul=2048"	14	Act 5 (H) Equip C	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																		0
Izual (H) Desecrated A	32	86	2					0	CFN Gems	5	Izual Item (H) Desecrated A	20																						0
Izual (H) Desecrated B	32	90	2					0	CFN Gems	5	Izual Item (H) Desecrated B	20																						0
Izual (H) Desecrated C	32	93	2					0	CFN Gems	5	Izual Item (H) Desecrated C	20																						0
Izual (H) Desecrated D	32	96	2					0	CFN Gems	5	Izual Item (H) Desecrated D	20																						0
Act 1 Super A	18	0	-4	800	800	972	1024	0	Act 1 Uitem A	2	Potion 2	2																						0
Act 1 Super B	18	5	-4	800	800	972	1024	0	Act 1 Uitem B	2	Potion 2	2																						0
Act 1 Super C	18	9	-4	800	800	972	1024	0	Act 1 Uitem C	2	Potion 2	2																						0
Act 2 Super A	18	12	-4	800	800	972	1024	0	Act 2 Uitem A	2	Potion 2	2																						0
Act 2 Super B	18	15	-4	800	800	972	1024	0	Act 2 Uitem B	2	Potion 2	2																						0
Act 2 Super C	18	18	-4	800	800	972	1024	0	Act 2 Uitem C	2	Potion 2	2																						0
Act 3 Super A	18	20	-4	800	800	972	1024	0	Act 3 Uitem A	2	Potion 2	2																						0
Act 3 Super B	18	22	-4	800	800	972	1024	0	Act 3 Uitem B	2	Potion 2	2																						0
Act 3 Super C	18	24	-4	800	800	972	1024	0	Act 3 Uitem C	2	Potion 2	2																						0
Act 4 Super A	18	26	-4	800	800	972	1024	0	Act 4 Uitem A	2	Potion 2	2																						0
Act 4 Super B	18	29	-4	800	800	972	1024	0	Act 4 Uitem B	2	Potion 2	2																						0
Act 4 Super C	18	32	-4	800	800	972	1024	0	Act 4 Uitem B	2	Potion 2	2																						0
Act 5 Super A	18	34	-4	800	800	972	1024	0	Act 5 Uitem A	2	Potion 2	2																						0
Act 5 Super B	18	36	-4	800	800	972	1024	0	Act 5 Uitem B	2	Potion 2	2																						0
Act 5 Super C	18	38	-4	800	800	972	1024	0	Act 5 Uitem C	2	Potion 2	2																						0
Act 1 (N) Super A	18	40	-4	800	800	972	1024	0	Act 1 (N) Uitem A	2	Potion 2	2																						0
Act 1 (N) Super B	18	41	-4	800	800	972	1024	0	Act 1 (N) Uitem B	2	Potion 2	2																						0
Act 1 (N) Super C	18	42	-4	800	800	972	1024	0	Act 1 (N) Uitem C	2	Potion 2	2																						0
Act 2 (N) Super A	18	44	-4	800	800	972	1024	0	Act 2 (N) Uitem A	2	Potion 2	2																						0
Act 2 (N) Super B	18	45	-4	800	800	972	1024	0	Act 2 (N) Uitem B	2	Potion 2	2																						0
Act 2 (N) Super C	18	46	-4	800	800	972	1024	0	Act 2 (N) Uitem C	2	Potion 2	2																						0
Act 3 (N) Super A	18	48	-4	800	800	972	1024	0	Act 3 (N) Uitem A	2	Potion 2	2																						0
Act 3 (N) Super B	18	50	-4	800	800	972	1024	0	Act 3 (N) Uitem B	2	Potion 2	2																						0
Act 3 (N) Super C	18	51	-4	800	800	972	1024	0	Act 3 (N) Uitem C	2	Potion 2	2																						0
Act 4 (N) Super A	18	54	-4	800	800	972	1024	0	Act 4 (N) Uitem A	2	Potion 2	2																						0
Act 4 (N) Super B	18	57	-4	800	800	972	1024	0	Act 4 (N) Uitem B	2	Potion 2	2																						0
Act 4 (N) Super C	18	60	-4	800	800	972	1024	0	Act 4 (N) Uitem B	2	Potion 2	2																						0
Act 5 (N) Super A	18	62	-4	800	800	972	1024	0	Act 5 (N) Uitem A	2	Potion 2	2																						0
Act 5 (N) Super B	18	63	-4	800	800	972	1024	0	Act 5 (N) Uitem B	2	Potion 2	2																						0
Act 5 (N) Super C	18	66	-4	800	800	972	1024	0	Act 5 (N) Uitem C	2	Potion 2	2																						0
Act 1 (H) Super A	18	67	-5	800	800	972	1024	0	Act 1 (H) Uitem A	2	Potion 2	2																						0
Act 1 (H) Super B	18	67	-5	800	800	972	1024	0	Act 1 (H) Uitem B	2	Potion 2	2																						0
Act 1 (H) Super C	18	68	-5	800	800	972	1024	0	Act 1 (H) Uitem C	2	Potion 2	2																						0
Act 2 (H) Super A	18	68	-5	800	800	972	1024	0	Act 2 (H) Uitem A	2	Potion 2	2																						0
Act 2 (H) Super B	18	69	-5	800	800	972	1024	0	Act 2 (H) Uitem B	2	Potion 2	2																						0
Act 2 (H) Super C	18	72	-5	800	800	972	1024	0	Act 2 (H) Uitem C	2	Potion 2	2																						0
Act 3 (H) Super A	18	73	-5	800	800	972	1024	0	Act 3 (H) Uitem A	2	Potion 2	2																						0
Act 3 (H) Super B	18	75	-5	800	800	972	1024	0	Act 3 (H) Uitem B	2	Potion 2	2																						0
Act 3 (H) Super C	18	78	-5	800	800	972	1024	0	Act 3 (H) Uitem C	2	Potion 2	2																						0
Act 4 (H) Super A	18	81	-5	800	800	972	1024	0	Act 4 (H) Uitem A	2	Potion 2	2																						0
Act 4 (H) Super B	18	84	-5	800	800	972	1024	0	Act 4 (H) Uitem B	2	Potion 2	2																					1	0
Act 4 (H) Super C	18	87	-5	800	800	972	1024	0	Act 4 (H) Uitem B	2	Potion 2	2																						0
Act 5 (H) Super A	18	90	-5	800	800	972	1024	0	Act 5 (H) Uitem A	2	Potion 2	2																						0
Act 5 (H) Super B	18	93	-5	800	800	972	1024	0	Act 5 (H) Uitem B	2	Potion 2	2																						0
Act 5 (H) Super C	18	96	-5	800	800	972	1024	0	Act 5 (H) Uitem C	2	Potion 2	2																						0
Act 1 Super Ax	18	0	-4	512	654	972	1024	0	Act 1 Uitem A	2	Potion 2	2																						0
Act 1 Super Bx	18	5	-4	512	654	972	1024	0	Act 1 Uitem B	2	Potion 2	2																						0
Act 1 Super Cx	18	9	-4	512	654	972	1024	0	Act 1 Uitem C	2	Potion 2	2																						0
Act 2 Super Ax	18	12	-4	512	654	972	1024	0	Act 2 Uitem A	2	Potion 2	2																						0
Act 2 Super Bx	18	15	-4	512	654	972	1024	0	Act 2 Uitem B	2	Potion 2	2																						0
Act 2 Super Cx	18	18	-4	512	654	972	1024	0	Act 2 Uitem C	2	Potion 2	2																						0
Act 3 Super Ax	18	20	-4	512	654	972	1024	0	Act 3 Uitem A	2	Potion 2	2																						0
